Sentence,Word,POS,Tag
,and,CCONJ,O
,hydraulic,ADJ,O
,conductivity,NOUN,O
,.,PUNCT,O
Sentence 154,The,DET,O
,epikarst,NOUN,DFD
,is,AUX,O
,a,DET,O
,permeable,NOUN,GEN
,boundary,NOUN,GEN
,between,ADP,O
,the,DET,O
,surface,NOUN,O
,and,CCONJ,O
,subsurface,NOUN,O
,environments,NOUN,O
,and,CCONJ,O
,can,AUX,O
,be,AUX,O
,conceptualized,VERB,O
,as,ADP,O
,the,DET,O
,vadose,PROPN,O
,critical,ADJ,O
,zone,NOUN,O
,of,ADP,O
,epigenic,NOUN,O
,karst,NOUN,O
,systems,NOUN,O
,.,PUNCT,O
Sentence 155,The,DET,O
,hyporheic,NOUN,DFD
,zone,NOUN,DFD
,is,AUX,O
,a,DET,O
,zone,NOUN,GEN
,(,PUNCT,O
,usually,ADV,O
,associated,VERB,O
,with,ADP,O
,a,DET,O
,coupled,VERB,O
,river,NOUN,O
,-,SYM,O
,alluvial,NOUN,O
,aquifer,NOUN,O
,system,NOUN,O
,),PUNCT,O
,that,PRON,O
,has,VERB,O
,a,DET,O
,variable,ADJ,O
,thickness,NOUN,O
,and,CCONJ,O
,lateral,ADJ,O
,extent,NOUN,O
,",",PUNCT,O
,through,ADP,O
,which,PRON,O
,surface,NOUN,O
,water,NOUN,O
,and,CCONJ,O
,groundwater,NOUN,O
,exchange,NOUN,O
,and,CCONJ,O
,mix,NOUN,O
,.,PUNCT,O
,river,NOUN,O
,-,SYM,O
,alluvial,ADJ,O
,aquifer,NOUN,O
,system,NOUN,O
Sentence 156,The,DET,O
,hyporheic,NOUN,DFD
,zone,NOUN,DFD
,is,AUX,O
,a,DET,O
,zone,NOUN,GEN
,of,ADP,GEN
,fluid,NOUN,GEN
,flux,NOUN,GEN
,",",PUNCT,GEN
,biogeochemical,NOUN,GEN
,reactions,NOUN,GEN
,",",PUNCT,O
,including,VERB,O
,processing,NOUN,O
,of,ADP,O
,organic,ADJ,O
,matter,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,the,DET,O
,flux,NOUN,O
,of,ADP,O
,animals,NOUN,O
,.,PUNCT,O
Sentence 157,Sand,NOUN,DFD
,is,AUX,O
,a,DET,O
,cave,NOUN,GEN
,sediment,NOUN,GEN
,which,PRON,O
,was,AUX,O
,well,ADV,O
,washed,VERB,O
,",",PUNCT,O
,since,SCONJ,O
,it,PRON,O
,is,AUX,O
,made,VERB,O
,up,ADP,O
,almost,ADV,O
,exclusively,ADV,O
,of,ADP,O
,quartz,NOUN,O
,grains,NOUN,O
,.,PUNCT,O
Sentence 158,Goethite,NOUN,DFD
,is,AUX,O
,a,DET,O
,very,ADV,O
,frequent,ADJ,O
,mineral,NOUN,GEN
,created,VERB,O
,in,ADP,O
,the,DET,O
,oxidation,NOUN,O
,of,ADP,O
,various,ADJ,O
,iron,NOUN,O
,minerals,NOUN,O
,",",PUNCT,O
,but,CCONJ,O
,can,AUX,O
,also,ADV,O
,be,AUX,O
,created,VERB,O
,as,ADP,O
,a,DET,O
,precipitate,NOUN,O
,in,ADP,O
,marshes,NOUN,O
,and,CCONJ,O
,springs,NOUN,O
,.,PUNCT,O
Sentence 159,Various,ADJ,O
,forms,NOUN,O
,of,ADP,O
,flowstone,NOUN,DFD
,are,AUX,O
,the,DET,O
,result,NOUN,O
,of,ADP,O
,dripping,NOUN,O
,",",PUNCT,O
,running,NOUN,O
,",",PUNCT,O
,trickling,NOUN,O
,",",PUNCT,O
,trapped,VERB,O
,",",PUNCT,O
,condensed,VERB,O
,water,NOUN,O
,etc,X,O
,.,PUNCT,O
,It,PRON,O
,is,AUX,O
,secreted,VERB,O
,from,ADP,O
,water,NOUN,O
,flowing,VERB,O
,down,ADP,O
,the,DET,O
,walls,NOUN,O
,or,CCONJ,O
,the,DET,O
,floor,NOUN,O
,in,ADP,O
,layers,NOUN,O
,",",PUNCT,O
Sentence 160,Lowland,NOUN,DFD
,is,AUX,O
,a,DET,O
,lower,ADJ,GEN
,karstified,NOUN,GEN
,section,NOUN,GEN
,with,ADP,O
,gently,ADV,O
,sloping,VERB,O
,hills,NOUN,O
,.,PUNCT,O
Sentence 161,Smaller,ADJ,O
,fluvial,NOUN,DFD
,karst,NOUN,DFD
,forms,NOUN,DFD
,(,PUNCT,O
,mesoforms,NOUN,O
,),PUNCT,O
,are,AUX,O
,smaller,ADJ,O
,dolines,NOUN,GEN
,that,PRON,O
,can,AUX,O
,be,AUX,O
,found,VERB,O
,particularly,ADV,O
,on,ADP,O
,flat,ADJ,O
,parts,NOUN,O
,of,ADP,O
,land,NOUN,O
,and,CCONJ,O
,can,AUX,O
,amount,VERB,O
,to,ADP,O
,several,ADJ,O
,10,NUM,O
,per,ADP,O
,km2,NOUN,O
,.,PUNCT,O
Sentence 162,Smaller,ADJ,O
,fluvial,NOUN,O
,karst,NOUN,O
,forms,NOUN,O
,(,PUNCT,O
,mesoforms,NOUN,DFD
,),PUNCT,O
,are,AUX,O
,smaller,ADJ,O
,dolines,NOUN,GEN
,that,PRON,O
,can,AUX,O
,be,AUX,O
,found,VERB,O
,particularly,ADV,O
,on,ADP,O
,flat,ADJ,O
,parts,NOUN,O
,of,ADP,O
,land,NOUN,O
,and,CCONJ,O
,can,AUX,O
,amount,VERB,O
,to,ADP,O
,several,ADJ,O
,10,NUM,O
,per,ADP,O
,km2,NOUN,O
,.,PUNCT,O
Sentence 163,Scallops,NOUN,DFD
,are,AUX,O
,shallow,ADJ,GEN
,niches,NOUN,GEN
,",",PUNCT,O
,up,ADV,O
,to,ADP,O
,a,DET,O
,few,NUM,O
,cm,NOUN,O
,long,ADJ,O
,",",PUNCT,O
,that,PRON,O
,are,AUX,O
,shaped,VERB,O
,by,ADP,O
,eddies,NOUN,O
,.,PUNCT,O
,eddies,NOUN,O
Sentence 164,The,DET,O
,exokarstic,NOUN,DFD
,storey,NOUN,DFD
,represents,VERB,O
,the,DET,GEN
,upper,ADJ,GEN
,part,NOUN,GEN
,of,ADP,GEN
,the,DET,O
,karstosphere,NOUN,GEN
,between,ADP,O
,the,DET,O
,topographic,ADJ,O
,surface,NOUN,O
,and,CCONJ,O
,a,DET,O
,depth,NOUN,O
,of,ADP,O
,0,NUM,O
,.,PUNCT,O
,5,NUM,O
,to,ADP,O
,7,NUM,O
,.,PUNCT,O
,0,NUM,O
,km,NOUN,O
,.,PUNCT,O
Sentence 165,In,ADP,O
,structural,ADJ,O
,geology,NOUN,O
,",",PUNCT,O
,faults,NOUN,DFD
,are,AUX,O
,defined,VERB,O
,as,ADP,O
,fractures,NOUN,GEN
,in,ADP,O
,the,DET,O
,rocks,NOUN,O
,of,ADP,O
,the,DET,O
,earth,NOUN,O
,',PART,O
,s,PART,O
,crust,NOUN,O
,along,ADP,O
,which,DET,O
,movement,NOUN,O
,has,AUX,O
,occurred,VERB,O
,or,CCONJ,O
,still,ADV,O
,occurs,VERB,O
,(,PUNCT,O
,Davis,PROPN,O
,&,CCONJ,O
,Reynolds,PROPN,O
,1996,NUM,O
,),PUNCT,O
,.,PUNCT,O
Sentence 166,Fission-track,NOUN,DFD
,method,NOUN,DFD
,is,AUX,O
,a,DET,O
,radiogenic,NOUN,GEN
,method,NOUN,GEN
,of,ADP,O
,age,NOUN,O
,estimation,NOUN,O
,based,VERB,O
,on,ADP,O
,accumulation,NOUN,O
,of,ADP,O
,damage,NOUN,O
,trails,NOUN,O
,left,VERB,O
,by,ADP,O
,nuclei,NOUN,O
,that,PRON,O
,are,AUX,O
,expelled,VERB,O
,during,ADP,O
,fission,NOUN,O
,decays,NOUN,O
,of,ADP,O
,238U,NOUN,O
,.,PUNCT,O
Sentence 167,Flowstone,NOUN,DFD
,is,AUX,O
,a,DET,O
,general,ADJ,O
,term,NOUN,O
,referring,VERB,O
,to,ADP,O
,a,DET,O
,deposit,NOUN,GEN
,formed,VERB,O
,from,ADP,O
,thin,ADJ,O
,films,NOUN,O
,or,CCONJ,O
,trickles,NOUN,O
,of,ADP,O
,water,NOUN,O
,",",PUNCT,O
,the,DET,O
,minerals,NOUN,O
,are,AUX,O
,usually,ADV,O
,calcium,NOUN,O
,carbonate,NOUN,O
,and,CCONJ,O
,encrust,NOUN,O
,floors,NOUN,O
,or,CCONJ,O
,walls,NOUN,O
,.,PUNCT,O
Sentence 168,The,DET,O
,term,NOUN,O
,fluviokarst,NOUN,DFD
,is,AUX,O
,used,VERB,O
,to,PART,O
,describe,VERB,O
,a,DET,O
,karst,NOUN,GEN
,landscape,NOUN,GEN
,in,ADP,O
,which,PRON,O
,the,DET,O
,dominant,ADJ,O
,physical,ADJ,O
,landforms,NOUN,O
,are,AUX,O
,valleys,NOUN,O
,initially,ADV,O
,cut,VERB,O
,by,ADP,O
,surface,NOUN,O
,streams,NOUN,O
,that,PRON,O
,have,AUX,O
,been,AUX,O
,partly,ADV,O
,or,CCONJ,O
,completely,ADV,O
,diverted,VERB,O
,underground,ADV,O
,by,ADP,O
,subsurface,NOUN,O
,conduit,NOUN,O
,piracy,NOUN,O
,(,PUNCT,O
,Field,NOUN,O
,",",PUNCT,O
,2002a,NUM,O
,),PUNCT,O
,.,PUNCT,O
Sentence 169,Kluftkarren,NOUN,DFD
,or,CCONJ,O
,grikes,NOUN,DFD
,are,AUX,O
,merely,ADV,O
,the,DET,O
,visible,ADJ,O
,surface,NOUN,O
,expression,NOUN,O
,of,ADP,GEN
,the,DET,O
,fissures,NOUN,GEN
,of,ADP,O
,a,DET,GEN
,karstifiable,NOUN,GEN
,rock,NOUN,GEN
,;,PUNCT,O
,as,ADP,O
,such,ADJ,O
,",",PUNCT,O
,they,PRON,O
,are,AUX,O
,a,DET,O
,significant,ADJ,O
,component,NOUN,O
,of,ADP,O
,the,DET,O
,epikarst,NOUN,O
,",",PUNCT,O
,or,CCONJ,O
,the,DET,O
,outer,ADJ,O
,skin,NOUN,O
,of,ADP,O
,the,DET,O
,whole,ADJ,O
,karst,NOUN,O
,system,NOUN,O
,.,PUNCT,O
Sentence 170,Hypogene,NOUN,DFD
,karst,NOUN,DFD
,is,AUX,O
,defined,VERB,O
,as,ADP,O
,the,DET,GEN
,formation,NOUN,GEN
,of,ADP,GEN
,caves,NOUN,GEN
,by,ADP,O
,water,NOUN,O
,that,PRON,O
,recharges,ADV,O
,the,DET,O
,soluble,ADJ,O
,formation,NOUN,O
,from,ADP,O
,below,ADV,O
,",",PUNCT,O
,driven,VERB,O
,by,ADP,O
,hydrostatic,ADJ,O
,pressure,NOUN,O
,or,CCONJ,O
,other,ADJ,O
,sources,NOUN,O
,of,ADP,O
,energy,NOUN,O
,",",PUNCT,O
,independent,ADJ,O
,of,ADP,O
,the,DET,O
,recharge,NOUN,O
,from,ADP,O
,the,DET,O
,overlying,NOUN,O
,or,CCONJ,O
,immediately,ADV,O
,adjacent,ADJ,O
,surface,NOUN,O
,(,PUNCT,O
,Ford,PROPN,O
,",",PUNCT,O
,2000,NUM,O
,),PUNCT,O
,.,PUNCT,O
,caves,NOUN,O
Sentence 171,The,DET,O
,inphase,PROPN,DFD
,component,NOUN,DFD
,is,AUX,O
,defined,VERB,O
,as,ADP,O
,the,DET,GEN
,amplitude,NOUN,GEN
,of,ADP,GEN
,the,DET,O
,secondary,ADJ,GEN
,field,NOUN,GEN
,at,ADP,O
,the,DET,O
,point,NOUN,O
,where,ADV,O
,the,DET,O
,primary,ADJ,O
,field,NOUN,O
,amplitude,NOUN,O
,peaks,VERB,O
,.,PUNCT,O
Sentence 172,Karren,PROPN,DFD
,is,AUX,O
,a,DET,O
,common,ADJ,O
,term,NOUN,O
,used,VERB,O
,for,ADP,O
,dissolution,NOUN,GEN
,features,NOUN,GEN
,on,ADP,O
,exposed,VERB,O
,soluble,ADJ,O
,rock,NOUN,O
,surfaces,NOUN,O
,(,PUNCT,O
,Gines,PROPN,O
,2009,NUM,O
,),PUNCT,O
,.,PUNCT,O
,dissolution,NOUN,O
Sentence 173,Karren,NOUN,DFD
,range,VERB,O
,from,ADP,O
,1,NUM,O
,cm,NOUN,O
,to,ADP,O
,10,NUM,O
,m,NOUN,O
,in,ADP,O
,greatest,ADJ,O
,dimension,NOUN,O
,in,ADP,O
,most,ADJ,O
,instances,NOUN,O
,",",PUNCT,O
,although,SCONJ,O
,kluftkarren,PROPN,O
,and,CCONJ,O
,some,DET,O
,solution,NOUN,O
,channels,NOUN,O
,can,AUX,O
,be,AUX,O
,longer,ADJ,O
,.,PUNCT,O
Sentence 174,In,ADP,O
,the,DET,O
,most,ADV,O
,general,ADJ,O
,terms,NOUN,O
,",",PUNCT,O
,karst,NOUN,DFD
,may,AUX,O
,be,AUX,O
,defined,VERB,O
,as,ADP,O
,a,DET,O
,process,NOUN,GEN
,of,ADP,O
,interaction,NOUN,O
,between,ADP,O
,soluble,ADJ,O
,rocks,NOUN,O
,and,CCONJ,O
,different,ADJ,O
,waters,NOUN,O
,",",PUNCT,O
,as,ADP,O
,a,DET,O
,result,NOUN,O
,of,ADP,O
,which,DET,O
,characteristic,ADJ,O
,features,NOUN,O
,develop,VERB,O
,on,ADP,O
,the,DET,O
,Earth,NOUN,O
,',PART,O
,s,PART,O
,surface,NOUN,O
,and,CCONJ,O
,underground,NOUN,O
,.,PUNCT,O
,process,NOUN,O
Sentence 175,Karstification,NOUN,DFD
,is,AUX,O
,the,DET,O
,geologic,ADJ,GEN
,process,NOUN,GEN
,of,ADP,O
,differential,ADJ,O
,chemical,ADJ,O
,and,CCONJ,O
,mechanical,ADJ,O
,erosion,NOUN,O
,by,ADP,O
,water,NOUN,O
,on,ADP,O
,soluble,VERB,O
,bodies,NOUN,O
,of,ADP,O
,rock,NOUN,O
,",",PUNCT,O
,such,ADJ,O
,as,ADP,O
,limestone,NOUN,O
,",",PUNCT,O
,dolomite,NOUN,O
,",",PUNCT,O
,gypsum,NOUN,O
,",",PUNCT,O
,or,CCONJ,O
,salt,NOUN,O
,",",PUNCT,O
,at,ADP,O
,or,CCONJ,O
,near,ADP,O
,the,DET,O
,Earth,NOUN,O
,',PART,O
,s,PART,O
,surface,NOUN,O
,.,PUNCT,O
Sentence 176,The,DET,O
,term,NOUN,O
,karst,NOUN,DFD
,describes,VERB,O
,a,DET,O
,distinctive,ADJ,O
,topography,NOUN,GEN
,that,PRON,O
,indicates,VERB,O
,dissolution,NOUN,O
,(,PUNCT,O
,also,ADV,O
,called,VERB,O
,chemical,ADJ,O
,solution,NOUN,O
,),PUNCT,O
,of,ADP,O
,underlying,VERB,O
,soluble,ADJ,O
,rocks,NOUN,O
,by,ADP,O
,surface,NOUN,O
,water,NOUN,O
,or,CCONJ,O
,ground,NOUN,O
,water,NOUN,O
,.,PUNCT,O
Sentence 177,The,DET,O
,term,NOUN,O
,karst,NOUN,DFD
,applies,VERB,O
,to,ADP,O
,a,DET,O
,distinctive,ADJ,O
,type,NOUN,GEN
,of,ADP,GEN
,landscape,NOUN,GEN
,that,PRON,O
,develops,VERB,O
,from,ADP,O
,the,DET,O
,dissolving,ADV,O
,action,NOUN,O
,of,ADP,O
,water,NOUN,O
,on,ADP,O
,soluble,ADJ,O
,bedrock,NOUN,O
,",",PUNCT,O
,primarily,ADV,O
,limestone,NOUN,O
,and,CCONJ,O
,marble,NOUN,O
,but,CCONJ,O
,also,ADV,O
,dolostone,NOUN,O
,",",PUNCT,O
,gypsum,NOUN,O
,and,CCONJ,O
,halite,NOUN,O
,.,PUNCT,O
Sentence 178,Karst,NOUN,DFD
,is,AUX,O
,defined,VERB,O
,as,ADP,O
,a,DET,O
,terrain,NOUN,GEN
,",",PUNCT,O
,generally,ADV,O
,underlain,VERB,O
,by,ADP,O
,limestone,NOUN,O
,or,CCONJ,O
,dolomite,NOUN,O
,",",PUNCT,O
,in,ADP,O
,which,PRON,O
,the,DET,O
,topography,NOUN,O
,is,AUX,O
,chiefly,ADV,O
,formed,VERB,O
,by,ADP,O
,the,DET,O
,dissolving,ADV,O
,of,ADP,O
,rock,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,which,PRON,O
,may,AUX,O
,be,AUX,O
,characterised,VERB,O
,by,ADP,O
,sinkholes,NOUN,O
,",",PUNCT,O
,sinking,NOUN,O
,streams,NOUN,O
,",",PUNCT,O
,closed,VERB,O
,depressions,NOUN,O
,",",PUNCT,O
,subterranean,ADJ,O
,drainage,NOUN,O
,and,CCONJ,O
,caves,NOUN,O
,(,PUNCT,O
,Field,NOUN,O
,2002,NUM,O
,),PUNCT,O
,.,PUNCT,O
,underlain,VERB,O
,by,ADP,O
,limestone,NOUN,O
,or,CCONJ,O
,dolomite,NOUN,O
Sentence 179,Karst,NOUN,DFD
,is,AUX,O
,the,DET,O
,term,NOUN,O
,applied,VERB,O
,to,ADP,O
,terrains,NOUN,GEN
,underlain,VERB,O
,by,ADP,O
,soluble,ADJ,O
,rock,NOUN,O
,:,PUNCT,O
,mainly,ADV,O
,limestone,NOUN,O
,",",PUNCT,O
,dolomite,NOUN,O
,and,CCONJ,O
,gypsum,NOUN,O
,.,PUNCT,O
Sentence 180,Lampenflora,NOUN,DFD
,is,AUX,O
,a,DET,O
,complex,ADJ,GEN
,community,NOUN,GEN
,of,ADP,GEN
,organisms,NOUN,GEN
,growing,VERB,O
,on,ADP,O
,illuminated,VERB,O
,areas,NOUN,O
,such,ADJ,O
,as,ADP,O
,rocky,ADJ,O
,surfaces,NOUN,O
,",",PUNCT,O
,sediment,NOUN,O
,and,CCONJ,O
,artificial,ADJ,O
,materials,NOUN,O
,around,ADP,O
,lamps,NOUN,O
,.,PUNCT,O
Sentence 181,The,DET,O
,Kras,PROPN,DFD
,is,AUX,O
,a,DET,O
,limestone,NOUN,GEN
,plateau,NOUN,GEN
,situated,VERB,O
,above,ADP,O
,the,DET,O
,Trieste,PROPN,O
,Bay,PROPN,O
,in,ADP,O
,the,DET,O
,northern,ADJ,O
,Adriatic,PROPN,O
,Sea,PROPN,O
,.,PUNCT,O
Sentence 182,The,DET,O
,word,NOUN,O
,epikarst,NOUN,DFD
,came,VERB,O
,into,ADP,O
,widespread,ADJ,O
,use,NOUN,O
,in,ADP,O
,the,DET,O
,1990s,NOUN,O
,following,VERB,O
,the,DET,O
,definition,NOUN,O
,by,ADP,O
,Mangin,PROPN,O
,(,PUNCT,O
,1973,NUM,O
,),PUNCT,O
,of,ADP,O
,an,DET,O
,epikarst,NOUN,O
,aquifer,NOUN,DFD
,as,ADP,O
,a,DET,O
,perched,VERB,O
,saturated,VERB,O
,zone,NOUN,GEN
,within,ADP,O
,the,DET,O
,superficial,ADJ,O
,part,NOUN,O
,of,ADP,O
,the,DET,O
,karst,NOUN,O
,that,PRON,O
,stores,VERB,O
,a,DET,O
,part,NOUN,O
,of,ADP,O
,the,DET,O
,infiltrated,VERB,O
,water,NOUN,O
,(,PUNCT,O
,Bakalowicz,PROPN,O
,",",PUNCT,O
,2012,NUM,O
,),PUNCT,O
,.,PUNCT,O
Sentence 183,Dry,ADJ,DFD
,valleys,NOUN,DFD
,are,AUX,O
,often,ADV,O
,defined,VERB,O
,as,ADP,O
,thosewithout,ADV,O
,",",PUNCT,O
,or,CCONJ,O
,with,ADP,O
,only,ADV,O
,a,DET,O
,temporary,ADJ,O
,",",PUNCT,O
,watercourse,NOUN,O
,(,PUNCT,O
,Sweeting,PROPN,O
,",",PUNCT,O
,1973,NUM,O
,),PUNCT,O
,.,PUNCT,O
Sentence 184,Time,NOUN,DFD
,series,NOUN,DFD
,analysis,NOUN,DFD
,are,AUX,O
,signal,NOUN,GEN
,processing,NOUN,GEN
,methods,NOUN,GEN
,belonging,VERB,O
,to,ADP,O
,this,DET,O
,category,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,are,AUX,O
,mostly,ADV,O
,used,VERB,O
,to,PART,O
,improve,VERB,O
,the,DET,O
,understanding,NOUN,O
,of,ADP,O
,the,DET,O
,hydrological,NOUN,O
,behaviour,NOUN,O
,of,ADP,O
,karst,NOUN,O
,systems,NOUN,O
,.,PUNCT,O
Sentence 185,Speleogenesis,NOUN,DFD
,(,PUNCT,O
,karstic,NOUN,O
,),PUNCT,O
,is,AUX,O
,a,DET,O
,mass-transfer,NOUN,GEN
,process,NOUN,GEN
,",",PUNCT,O
,which,PRON,O
,critically,ADV,O
,depends,VERB,O
,on,ADP,O
,both,CCONJ,O
,",",PUNCT,O
,the,DET,O
,aggressiveness,NOUN,O
,of,ADP,O
,groundwater,NOUN,O
,and,CCONJ,O
,its,PRON,O
,circulation,NOUN,O
,(,PUNCT,O
,movement,NOUN,O
,),PUNCT,O
,.,PUNCT,O
Sentence 186,Aggressiveness,NOUN,O
,is,AUX,O
,an,DET,O
,attribute,NOUN,O
,of,ADP,O
,groundwater,NOUN,DFD
,that,PRON,O
,corresponds,VERB,O
,to,ADP,O
,a,DET,O
,chemical,ADJ,O
,potential,NOUN,O
,for,ADP,O
,mobilization,NOUN,O
,of,ADP,O
,a,DET,O
,dissolved,VERB,O
,matter,NOUN,O
,from,ADP,O
,the,DET,O
,rock,NOUN,O
,.,PUNCT,O
Sentence 187,Tafoni,PROPN,DFD
,geomorphology,NOUN,DFD
,designates,VERB,O
,a,DET,O
,hollow,ADJ,GEN
,shape,NOUN,GEN
,rounded,VERB,O
,several,ADJ,O
,decimeters,NOUN,O
,to,ADP,O
,several,ADJ,O
,meters,NOUN,O
,",",PUNCT,O
,carved,VERB,O
,by,ADP,O
,erosion,NOUN,O
,in,ADP,O
,the,DET,O
,coastal,NOUN,O
,carbonates,NOUN,O
,.,PUNCT,O
Sentence 188,Sea,NOUN,DFD
,caves,NOUN,DFD
,",",PUNCT,O
,also,ADV,O
,known,VERB,O
,as,ADP,O
,littoral,NOUN,O
,caves,NOUN,O
,",",PUNCT,O
,are,AUX,O
,a,DET,O
,type,NOUN,O
,of,ADP,O
,cave,NOUN,GEN
,formed,VERB,O
,primarily,ADV,O
,by,ADP,O
,wave,NOUN,O
,action,NOUN,O
,.,PUNCT,O
Sentence 189,Sea,NOUN,O
,caves,NOUN,DFD
,",",PUNCT,O
,also,ADV,O
,known,VERB,O
,as,ADP,O
,littoral,NOUN,DFD
,caves,NOUN,O
,",",PUNCT,O
,are,AUX,O
,a,DET,O
,type,NOUN,O
,of,ADP,O
,cave,NOUN,GEN
,formed,VERB,O
,primarily,ADV,O
,by,ADP,O
,wave,NOUN,O
,action,NOUN,O
,.,PUNCT,O
Sentence 190,In,ADP,O
,desert,NOUN,O
,environments,NOUN,O
,",",PUNCT,O
,spring,NOUN,DFD
,mounds,NOUN,DFD
,are,AUX,O
,hot,ADJ,GEN
,beds,NOUN,GEN
,of,ADP,O
,biological,ADJ,O
,activity,NOUN,O
,that,PRON,O
,",",PUNCT,O
,like,ADP,O
,soils,NOUN,O
,",",PUNCT,O
,tend,VERB,O
,to,PART,O
,be,AUX,O
,zones,NOUN,O
,of,ADP,O
,high,ADJ,O
,PCO2,NOUN,O
,.,PUNCT,O
Sentence 191,The,DET,O
,term,NOUN,O
,epigenesis,NOUN,DFD
,is,AUX,O
,widely,ADV,O
,used,VERB,O
,in,ADP,O
,Earth,NOUN,O
,Sciences,NOUN,O
,",",PUNCT,O
,employing,VERB,O
,epi,NOUN,O
,-,SYM,O
,in,ADP,O
,the,DET,O
,second,ADJ,O
,",",PUNCT,O
,temporal,ADJ,O
,sense,NOUN,O
,",",PUNCT,O
,along,ADP,O
,with,ADP,O
,a,DET,O
,complementary,ADJ,O
,syngenesis,NOUN,O
,.,PUNCT,O
Sentence 192,Hypogene,NOUN,DFD
,karstification,NOUN,DFD
,is,AUX,O
,defined,VERB,O
,as,ADP,O
,upward,ADJ,O
,movement,NOUN,GEN
,"""",PUNCT,O
,of,ADP,O
,the,DET,O
,cave-forming,NOUN,O
,agent,NOUN,O
,"""",PUNCT,O
,(,PUNCT,O
,sensu,NOUN,O
,Klimchouk,PROPN,O
,",",PUNCT,O
,2007,NUM,O
,",",PUNCT,O
,2012,NUM,O
,),PUNCT,O
,.,PUNCT,O
Sentence 193,The,DET,O
,term,NOUN,O
,doline,NOUN,DFD
,",",PUNCT,O
,of,ADP,O
,Slavonic,ADJ,O
,origin,NOUN,O
,",",PUNCT,O
,means,VERB,O
,literally,ADV,O
,valley,NOUN,O
,but,CCONJ,O
,actually,ADV,O
,it,PRON,O
,has,AUX,O
,been,AUX,O
,used,VERB,O
,since,ADP,O
,a,DET,O
,long,ADJ,O
,time,NOUN,O
,to,PART,O
,indicate,VERB,O
,more,ADJ,O
,or,CCONJ,O
,less,ADV,O
,well,ADV,O
,defined,VERB,O
,topographically,ADV,O
,depressed,ADJ,O
,areas,NOUN,GEN
,related,ADJ,O
,to,ADP,O
,karst,NOUN,O
,.,PUNCT,O
Sentence 194,Caves,NOUN,DFD
,are,AUX,O
,natural,ADJ,O
,underground,ADJ,O
,laboratories,NOUN,O
,where,ADV,O
,crystal,NOUN,O
,growth,NOUN,O
,processes,NOUN,O
,can,AUX,O
,be,AUX,O
,directly,ADV,O
,observed,VERB,O
,.,PUNCT,O
Sentence 195,Influxes,NOUN,O
,of,ADP,O
,sediment,NOUN,O
,into,ADP,O
,a,DET,O
,cave,NOUN,DFD
,system,NOUN,O
,fundamentally,ADV,O
,alters,VERB,O
,the,DET,O
,way,NOUN,O
,cave,NOUN,O
,passages,NOUN,DFD
,develop,VERB,O
,",",PUNCT,O
,either,CCONJ,O
,by,ADP,O
,alluviation,NOUN,O
,in,ADP,O
,a,DET,O
,vadose,NOUN,O
,environment,NOUN,O
,",",PUNCT,O
,or,CCONJ,O
,upwards,ADJ,O
,dissolution,NOUN,O
,in,ADP,O
,a,DET,O
,phreatic,NOUN,O
,environment,NOUN,O
,through,ADP,O
,a,DET,O
,process,NOUN,O
,commonly,ADV,O
,known,VERB,O
,as,ADP,O
,paragenesis,NOUN,O
,.,PUNCT,O
,in,ADP,O
,a,DET,O
,vadose,NOUN,O
,environment,NOUN,O
,in,ADP,O
,a,DET,O
,phreatic,NOUN,O
,environment,NOUN,O
Sentence 196,Clastic,ADJ,DFD
,sediments,NOUN,DFD
,are,AUX,O
,an,DET,O
,important,ADJ,O
,part,NOUN,O
,of,ADP,O
,the,DET,O
,mechanism,NOUN,O
,for,ADP,O
,storage,NOUN,O
,and,CCONJ,O
,transport,NOUN,O
,of,ADP,O
,contaminants,NOUN,O
,;,PUNCT,O
,indeed,ADV,O
,",",PUNCT,O
,solid,ADJ,O
,contaminants,NOUN,O
,can,AUX,O
,be,AUX,O
,considered,VERB,O
,as,ADP,O
,a,DET,O
,form,NOUN,O
,of,ADP,O
,clastic,NOUN,O
,sediment,NOUN,O
,.,PUNCT,O
Sentence 197,The,DET,O
,epiphreatic,NOUN,DFD
,zone,NOUN,DFD
,is,AUX,O
,the,DET,O
,range,NOUN,O
,of,ADP,O
,depths,NOUN,O
,between,ADP,O
,the,DET,O
,highest,ADJ,O
,and,CCONJ,O
,lowest,ADJ,O
,levels,NOUN,O
,that,PRON,O
,the,DET,O
,water,NOUN,O
,table,NOUN,O
,fluctuates,ADV,O
,between,ADP,O
,.,PUNCT,O
Sentence 198,Specific,ADJ,DFD
,karstic,NOUN,DFD
,ablation,NOUN,DFD
,is,AUX,O
,the,DET,O
,relationship,NOUN,O
,between,ADP,O
,the,DET,O
,volume,NOUN,O
,of,ADP,O
,limestone,NOUN,O
,taken,VERB,O
,out,ADP,O
,of,ADP,O
,the,DET,O
,system,NOUN,O
,and,CCONJ,O
,the,DET,O
,surface,NOUN,O
,area,NOUN,O
,of,ADP,O
,the,DET,O
,affected,VERB,O
,region,NOUN,O
,.,PUNCT,O
Sentence 199,Poljes,NOUN,DFD
,are,AUX,O
,an,DET,O
,important,ADJ,O
,component,NOUN,O
,of,ADP,O
,karst,NOUN,GEN
,",",PUNCT,O
